party,pollster,n_polls,mean_pp,q05_pp,q95_pp
CC,Celeste-Tel,12,0.025915062576958678,-0.030778910813072137,0.09455764508977058
CC,Cluster17,2,0.0,0.0,0.0
CC,DYM,18,0.0,0.0,0.0
CC,Data10,3,-0.012710583948232459,-0.098537144052807,0.06262639649437506
CC,Demoscopia y Servicios,1,0.0,0.0,0.0
CC,EM-Analytics,163,-0.026791218514232697,-0.05648640130395688,0.002911090452006558
CC,GAD3,11,-0.02044101560117127,-0.09412516839937404,0.042608998949581256
CC,GESOP,10,0.0,0.0,0.0
CC,Hamalgama Métrica,20,0.03425130741118696,-0.01857838024390197,0.09718043011185333
CC,InvyMark,18,0.0,0.0,0.0
CC,Ipsos,4,-0.01658476443436774,-0.09673168092236983,0.054737855768917786
CC,KeyData,23,0.0,0.0,0.0
CC,More in Common,3,0.0,0.0,0.0
CC,NC Report,22,0.012242319853237402,-0.04003361505316422,0.0672632004856746
CC,ODEC,1,0.025472582370469166,-0.054484150307707306,0.12547660736389302
CC,Opina 360,2,-0.04891279827979145,-0.15833516510710158,0.030793798066551623
CC,Sigma Dos,35,0.0641280725749342,0.020593706059534398,0.11296586613578283
CC,Simple Lógica,14,0.0,0.0,0.0
CC,SocioMétrica,31,-0.00034246486842300766,-0.0403833039004434,0.041033522172028616
CC,Sondaxe,2,-0.019150492590657726,-0.11060980835903794,0.05924323711061394
CC,Sumar,1,0.0,0.0,0.0
CC,Target Point,24,0.0,0.0,0.0
