election,prov,enp_votes,periph_share,province
198910,44,3.3988426219217702,0.1063735632871273,Teruel
198910,45,2.8117424500894845,0.0,Toledo
198910,46,3.9271902381717356,0.11534901642159223,Valencia
198910,47,3.2850364915310686,0.0,Valladolid
198910,48,5.8372244146800325,0.5912540864927901,Vizcaya
198910,49,2.8734551803272432,0.0,Zamora
198910,50,3.912430495098839,0.10702341873939768,Zaragoza
198910,51,3.2430311386235218,0.0,Ceuta
198910,52,2.1372407786123038,0.0,Melilla
199306,01,5.774468624495933,0.3241050675610056,Álava
199306,02,2.5467490985354853,0.0,Albacete
199306,03,2.7442043888169443,0.005557567305889634,Alicante
199306,04,2.6116549507305287,0.0,Almería
199306,05,2.72181734471535,0.0,Ávila
199306,06,2.463358191894253,0.0,Badajoz
199306,07,2.8474531815766335,0.006962303818510732,Baleares
199306,08,3.7822057271618883,0.34599299012697443,Barcelona
199306,09,2.6111218305329262,0.0,Burgos
199306,10,2.4767500689600777,0.0,Cáceres
199306,11,2.8366216534860293,0.0,Cádiz
199306,12,2.701118189631403,0.01756580168931583,Castellón
199306,13,2.4405166379102448,0.0,Ciudad Real
199306,14,2.825162275930165,0.0,Córdoba
199306,15,2.8146585383275466,0.0,La Coruña
199306,16,2.37915035773927,0.0,Cuenca
199306,17,3.400095613831921,0.5238135107890057,Gerona
199306,18,2.626519314825884,0.0,Granada
199306,19,2.5625401090560658,0.0,Guadalajara
199306,20,5.483277584297693,0.5702813566787799,Guipúzcoa
199306,21,2.4444884624002654,0.0,Huelva
199306,22,3.4303304029810913,0.17981809521649392,Huesca
199306,23,2.519183098152158,0.0,Jaén
199306,24,2.6752475564675486,0.0,León
199306,25,3.5920898936949075,0.47153850924861285,Lérida
199306,26,2.6785370734498426,0.0,Logroño
199306,27,2.4789207160680493,0.0,Lugo
199306,28,2.9014174906190138,0.0,Madrid
199306,29,2.8331758755204905,0.0,Málaga
199306,30,2.5854172447424437,0.0,Murcia
199306,31,3.5629490268118977,0.1541763303171855,Navarra
199306,32,2.4573986516381634,0.0,Orense
199306,33,3.0630768334618947,0.0,Oviedo
199306,34,2.579031625244935,0.0,Palencia
199306,35,3.611474079290105,0.2466991082558251,Las Palmas
199306,36,2.7605861704561927,0.0,Pontevedra
199306,37,2.55687809782807,0.0,Salamanca
199306,38,3.4692904451350066,0.26898177677125806,Santa Cruz de Tenerife
199306,39,3.192454949010888,0.0,Santander
199306,40,2.7937222697795066,0.0,Segovia
199306,41,2.482480673790028,0.0,Sevilla
199306,42,2.444139812579088,0.0,Soria
199306,43,3.8069901336298715,0.38914476995872344,Tarragona
199306,44,3.009003017393523,0.1348799266932627,Teruel
199306,45,2.4514346025851275,0.0,Toledo
199306,46,3.2717536373693967,0.0757028860719302,Valencia
